score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.91049385,2.1177454,2304.0,1,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.9365355,2.1177454,2304.0,1,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.5706019,1.6588507,2304.0,2,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.5578704,1.6588507,2304.0,2,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.9834105,1.5996091,2304.0,3,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.9768519,1.5996091,2304.0,3,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.75,1.5923495,2304.0,4,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.8092207,1.5923495,2304.0,4,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.50887346,1.5639398,2304.0,5,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.62056327,1.5639398,2304.0,5,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.6869213,1.5672736,2304.0,6,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.64544755,1.5672736,2304.0,6,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.66415894,1.5790296,2304.0,7,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.6892361,1.5790296,2304.0,7,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.9907407,1.5915675,2304.0,8,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.97897375,1.5915675,2304.0,8,1test,22,2,BNCI2014-001,EA+CSP+LDA
0.826196,1.5539663,2304.0,9,0train,22,2,BNCI2014-001,EA+CSP+LDA
0.78838736,1.5539663,2304.0,9,1test,22,2,BNCI2014-001,EA+CSP+LDA
