score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,band_low,band_high,band_label,n_components,config_name,subject_norm
0.5543981,1.8889511,2304.0,2,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,2
0.9861111,2.001723,2304.0,3,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,3
0.97665894,2.001723,2304.0,3,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,3
0.7494213,2.2297218,2304.0,4,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,4
0.80748457,2.2297218,2304.0,4,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,4
0.48804012,2.2112672,2304.0,5,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,5
0.611304,2.2112672,2304.0,5,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,5
0.6863426,2.9968848,2304.0,6,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,6
0.646412,2.9968848,2304.0,6,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,6
0.66820985,2.801774,2304.0,7,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,7
0.69521606,2.801774,2304.0,7,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,7
0.9907407,2.195929,2304.0,8,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,8
0.9780093,2.195929,2304.0,8,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,8
0.8258102,2.850024,2304.0,9,0train,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,9
0.7893519,2.850024,2304.0,9,1test,22,2,BNCI2014-001,band_8_30__csp_8,8,30,8-30,8,band_8_30__csp_8,9
0.9083719,2.5005422,2304.0,1,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,1
0.9373071,2.5005422,2304.0,1,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,1
0.57368827,2.086345,2304.0,2,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,2
0.52623457,2.086345,2304.0,2,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,2
0.9864969,1.6698742,2304.0,3,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,3
0.97723764,1.6698742,2304.0,3,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,3
0.7496142,1.7555761,2304.0,4,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,4
0.80767745,1.7555761,2304.0,4,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,4
0.49054784,1.6470819,2304.0,5,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,5
0.6103395,1.6470819,2304.0,5,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,5
0.703125,1.6370592,2304.0,6,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,6
0.671875,1.6370592,2304.0,6,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,6
0.6701389,1.933465,2304.0,7,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,7
0.6950231,1.933465,2304.0,7,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,7
0.9930556,2.727314,2304.0,8,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,8
0.9832176,2.727314,2304.0,8,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,8
0.82098764,2.899119,2304.0,9,0train,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,9
0.7835648,2.899119,2304.0,9,1test,22,2,BNCI2014-001,band_8_30__csp_10,8,30,8-30,10,band_8_30__csp_10,9
